Folio	CIF	Nombre	Segundo Nombre	Primer Apellido	Segundo Apellido	Telefono	Domicilio	Estado	Plaza	Regional
489147	755539	Elvia	Angélica	Mojica	Meléndez	2617301981	"Pasaje Zacatecas 567 223 San Mariana de la Montaña, CAMP 88723-6192"	Baja California Sur	33	SUR
950114	049905	Gerardo	Mónica	Lucio	Camarillo	7573978473	"Cerrada Partida 531 Interior 437 San Emilia de la Montaña, COAH 20711-4522"	Veracruz de Ignacio de la Llave	14	OCCIDENTE
377540	847833	Mario	Margarita	Haro	Navarro	3542923902	"Callejón Sur Sánchez 710 Interior 618 San Antonia de la Montaña, JAL 81586"	Sonora	8	NORTE
958474	852117	Luz	Violeta	Bañuelos	Flórez	1219633136	"Pasaje Guinea Bissau 060 Interior 758 San Luis Manuel los altos, BC 92032-0967"	Colima	36	CENTRO
381158	932321	Genaro	Antonia	Escobedo	Orosco	8104205427	"Callejón Orosco 760 Interior 469 Nueva Namibia, DF 53641"	Chiapas	5	CENTRO
561636	112996	Marcela	Ricardo	Flores	Urbina	6750079592	"Andador Lugo 014 Interior 100 Vieja Burkina Faso, OAX 46160"	Sonora	1	CENTRO
128221	347195	Maximiliano	Elvira	Soria	Altamirano	7842451206	"Cerrada Tabasco 739 Interior 628 San Araceli los bajos, TAB 18732-3081"	Zacatecas	17	CENTRO
880282	14654	Dalia	Bernabé	Bañuelos	Alemán	3689547202	"Circuito Sur Casas 174 645 Vieja Benin, BC 59723-1336"	Chiapas	5	OCCIDENTE
336382	497056	Natividad	Pedro	Solorzano	de Jesús	5113902122	"Ampliación Maestas 949 Edif. 933 , Depto. 101 San Estefanía los altos, CAMP 10516-2600"	Tlaxcala	14	CENTRO
402932	559809	Augusto	Esmeralda	Mota	Iglesias	9711352818	"Prolongación Varela 903 Interior 414 Vieja Haití, TAMPS 49679-4152"	Michoacán de Ocampo	20	CENTRO
547570	015040	Carla	Vicente	Heredia	Meléndez	5940082868	"Avenida Villagómez 714 Interior 761 Nueva Angola, TAMPS 36270-8636"	Campeche	46	CENTRO
137767	600575	Lorena	Diana	Romo	Batista	4194058925	"Eje vial Sur Reyna 082 037 Nueva Timor-Leste, COAH 45063"	Durango	1	CENTRO
151535	488266	Susana	Nancy	Gonzales	Montaño	9650177654	"Retorno Orta 773 Edif. 236 , Depto. 297 Vieja Austria, NAY 91973"	Nayarit	38	NORTE
414402	207252	Eva	Jos	Madrid	Bonilla	2335081038	"Pasaje Gambia 356 Edif. 196 , Depto. 059 Vieja Sri Lanka, DF 79638-8251"	Oaxaca	23	OCCIDENTE
323827	216629	Clemente	Jorge	Ramírez	Alfaro	8953812958	"Corredor Haití 431 Interior 526 San Luisa de la Montaña, AGS 14757"	Tabasco	17	CENTRO
638683	811420	Ana Luisa	Francisco Javier	Madrid	Guillen	4726166843	"Circunvalación Báez 509 Interior 826 San Rafaél los bajos, GRO 94773-2261"	Sinaloa	43	OCCIDENTE
996274	517476	Delia	Isabela	Soto	Lugo	5012339287	"Prolongación Santa Lucía 368 Edif. 138 , Depto. 187 Vieja Palau, PUE 23666-4488"	Michoacán de Ocampo	37	CENTRO
369315	223053	Liliana	Nelly	Vigil	Serna	7483114920	"Calzada Bolivia 406 Edif. 468 , Depto. 136 Nueva Malasia, BC 29132-5368"	Aguascalientes	1	CENTRO
430172	194550	Anabel	Abigail	Venegas	Linares	1917032718	"Boulevard Sur Pedroza 743 965 Nueva Cuba, MEX 81919"	Baja California Sur	23	CENTRO
747531	67662	Mariana	Serafín	Olvera	Galván	9602317874	"Continuación Rincón 343 Edif. 399 , Depto. 655 Nueva Letonia, GTO 07166-2917"	Oaxaca	49	CENTRO
822498	452381	Evelio	Ariadna	Salcedo	Calderón	7013968777	"Calle Norte Montenegro 836 Interior 757 San Cynthia los bajos, TAMPS 75372-6426"	Hidalgo	47	OCCIDENTE
518412	410646	Susana	Rolando	Montalvo	Lovato	6722077807	"Eje vial Candelaria 191 330 Vieja Belarús, Q. ROO 60292-0765"	Querétaro	9	CENTRO
347312	125700	Adán	Cristobal	Alonzo	Zaragoza	9801559600	"Viaducto Ballesteros 549 Edif. 528 , Depto. 449 San Isabel de la Montaña, PUE 72644-0877"	México	35	OCCIDENTE
249785	042707	Sergio	Miguel	Mercado	Jurado	7832947444	"Peatonal Soto 128 480 San Camilo de la Montaña, CHIH 73275-3326"	San Luis Potosí	9	NORTE
421341	359822	Virginia	Victoria	Villalobos	del Río	4465149376	"Calzada Aparicio 697 Edif. 986 , Depto. 263 San Mayte los bajos, VER 61130"	Durango	32	CENTRO
482369	626112	Pamela	Raquel	Jáquez	Negrón	8521515473	"Cerrada Oaxaca 257 Interior 191 San Reina los altos, NL 10079"	Querétaro	31	OCCIDENTE
602498	345651	Claudio	María Cristina	Alcaraz	Olivera	5713549169	"Ampliación Norte Ibarra 918 Edif. 549 , Depto. 233 Vieja Australia, COAH 98401"	Baja California Sur	4	NORTE
937525	841593	Eric	Ángela	Haro	Carrillo	7932953595	"Circuito Arabia Saudita 554 Edif. 430 , Depto. 948 San René los bajos, BC 37622-3283"	Guerrero	39	CENTRO
978141	690955	Wilfrido	Blanca	Caballero	Romo	6556327063	"Periférico Zamudio 994 Interior 984 Nueva República de Corea, TLAX 31949"	Oaxaca	5	OCCIDENTE
461700	488393	Jaime	Asunción	Jasso	Segovia	7063731134	"Continuación Norte Treviño 741 484 San Rafaél los altos, MOR 64022"	Veracruz de Ignacio de la Llave	34	SUR
207951	683549	Alberto	Wendolin	Sanabria	Ortiz	6144666508	"Pasaje Arabia Saudita 478 Edif. 168 , Depto. 006 Nueva Eritrea, VER 33327"	Tabasco	22	CENTRO
598851	911753	Carlos	Marco Antonio	Mata	Vélez	2057059242	"Callejón Maya 268 466 San Dulce María los bajos, CHIS 24029"	Hidalgo	43	CENTRO
585419	308200	Miguel Ángel	Isaac	Reyna	Rosado	6782313274	"Diagonal Cintrón 198 Interior 929 San Jesús los altos, Q. ROO 80304"	Zacatecas	17	NORTE
112870	268278	Yolanda	Silvano	Fierro	Flórez	3437958230	"Calzada Guyana 559 992 Nueva Panamá, HGO 57350-3269"	Sinaloa	8	CENTRO
672631	637155	Jonás	Porfirio	Barrera	Olmos	9218372486	"Callejón Jalisco 925 082 San Aurora los altos, GTO 66582-8890"	Distrito Federal	48	SUR
933165	93663	Claudio	José	Navarrete	Zapata	2918734510	"Callejón Zimbabwe 383 Edif. 725 , Depto. 030 Nueva Chile, DGO 24831"	Michoacán de Ocampo	26	OCCIDENTE
274240	824474	Enrique	Diana	Colón	Cervántez	6971072844	"Peatonal Norte Blanco 907 234 Vieja Bhután, BC 95628"	Veracruz de Ignacio de la Llave	28	OCCIDENTE
108668	334937	Esteban	Trinidad	Cavazos	Rendón	4530768668	"Circuito Esquibel 681 693 San Jos los bajos, VER 88590"	Durango	40	OCCIDENTE
684645	495161	Daniela	Linda	Escobar	Chacón	4472158281	"Retorno Perú 757 Edif. 710 , Depto. 828 San Asunción de la Montaña, BC 03513-7002"	Aguascalientes	1	OCCIDENTE
538337	541338	Gabino	Angélica	Rincón	González	6069490912	"Diagonal Irlanda 232 Edif. 619 , Depto. 762 San Esmeralda de la Montaña, COL 02294-6441"	Baja California	42	SUR
146523	835966	Augusto	Yeni	Mascareñas	Palomino	1882432652	"Calle Malasia 990 Interior 907 San Eloy los bajos, TLAX 86871"	Colima	19	CENTRO
907046	510746	Bianca	Bruno	Arriaga	Echeverría	4356386988	"Periférico Norte Rangel 306 Edif. 939 , Depto. 941 Vieja ex República Yugoslava de Macedonia, QRO 83490-5428"	Tabasco	43	SUR
843385	679401	Eduardo	Yolanda	Velasco	Baeza	9930216608	"Viaducto Sur Gallegos 802 Interior 391 Nueva Swazilandia, TAMPS 10172"	Jalisco	6	SUR
542052	129578	Raúl	Gregorio	Segura	Orellana	9536725564	"Periférico Gaona 987 Interior 115 San Gerardo de la Montaña, NL 26170"	Coahuila de Zaragoza	28	OCCIDENTE
604290	20951	Mariana	Pascual	Candelaria	Matos	7887899438	"Callejón Quintana Roo 424 Interior 909 Nueva Sudán, JAL 36276-8749"	San Luis Potosí	18	NORTE
365139	912066	Enrique	Mariana	Longoria	Baeza	1682389214	"Pasaje Jordania 406 Interior 596 San Conchita de la Montaña, ZAC 84181-0599"	México	25	OCCIDENTE
719123	08778	Norma	Eugenia	Gastélum	Carbajal	5453506027	"Calzada Norte Espino 599 045 San José María los bajos, DGO 27989-8437"	Sonora	32	CENTRO
999277	378849	Luisa	Marisela	Leyva	Ayala	8749562665	"Circuito Quintana Roo 513 494 San Débora los altos, CHIS 09834-3578"	Jalisco	46	SUR
739262	1116	Fernando	Eva	Gil	Urías	7144982634	"Diagonal Norte Covarrubias 143 Edif. 482 , Depto. 352 San Mónica los altos, COAH 69217-3701"	San Luis Potosí	11	CENTRO
257500	135608	Isabel	Catalina	Colón	Soria	7651407545	"Diagonal Gonzales 694 Interior 260 Nueva Sudán, GRO 61996-8635"	Nuevo León	4	NORTE
844163	65676	Mauricio	Eloisa	Escamilla	Urías	1393600516	"Privada Feliciano 457 682 San José los bajos, GRO 88796"	Tlaxcala	23	SUR
433767	643716	Micaela	Teodoro	Olvera	Cabrera	4512899989	"Circuito Sur Cedillo 500 Interior 487 Nueva Chipre, PUE 17496"	Puebla	22	SUR
882778	639818	Olga	Javier	Almanza	Alonzo	7958423209	"Calzada Jalisco 875 Edif. 654 , Depto. 383 San Enrique de la Montaña, DF 45346-2029"	Querétaro	16	CENTRO
699595	282917	Jerónimo	Débora	Carmona	Hurtado	8215070219	"Circunvalación Rodríquez 708 Edif. 034 , Depto. 727 San Horacio los altos, COAH 31703"	Aguascalientes	5	NORTE
461195	892940	Sandra	Abraham	Ochoa	Medina	3759503739	"Andador Acosta 001 184 Vieja Seychelles, ZAC 25866"	Guerrero	13	OCCIDENTE
200944	135847	Rosa	Julio César	Cavazos	Quintanilla	2680106165	"Calle Rico 094 Interior 444 San Jacobo los bajos, TAB 88201-6404"	Querétaro	7	CENTRO
956361	156626	Abigail	Humberto	Bustos	Negrón	6485698019	"Calzada Pineda 136 Interior 982 San Judith los altos, TAB 12161-6493"	Distrito Federal	43	CENTRO
328951	33807	Pascual	Luis Manuel	Armendáriz	Montalvo	1132834956	"Prolongación Michoacán de Ocampo 158 Interior 231 Nueva Camerún, YUC 68857"	Morelos	9	OCCIDENTE
440077	524862	Virginia	Alejandro	Gaona	Pedroza	1441118087	"Calzada Norte Maldonado 419 Edif. 465 , Depto. 565 Nueva Costa Rica, COAH 68403"	Aguascalientes	13	CENTRO
579961	543852	Aida	Gloria	Zavala	Zedillo	5872553649	"Cerrada Grecia 731 Interior 867 San José Luis los bajos, TLAX 92719-1372"	Tabasco	24	OCCIDENTE
366274	385894	Julio César	Eloy	Rosario	Monroy	6528775712	"Privada Jamaica 007 Interior 874 San María Cristina de la Montaña, DF 39468"	Querétaro	43	NORTE
965205	154861	Rubén	Jaime	Becerra	Osorio	1949252161	"Peatonal Sur Arias 496 Interior 044 San Francisco Javier los bajos, CHIS 06793"	Chiapas	22	NORTE
515084	419976	Gabino	Ariadna	Polanco	Rocha	2158496033	"Circuito Otero 970 776 Nueva Paraguay, MEX 53739-4747"	Morelos	49	SUR
660438	490099	Mauro	José Emilio	Manzanares	Alemán	5593945342	"Periférico Norte Garza 262 Interior 903 Vieja Irlanda, VER 62858-4414"	México	50	CENTRO
790803	118033	Catalina	Noemí	Anguiano	Coronado	5147681672	"Peatonal Albania 506 Interior 407 Vieja Turquía, GRO 50461"	Querétaro	7	SUR
525828	459904	Amador	Enrique	Meza	Saavedra	5192340016	"Privada Sur Ruelas 907 006 Vieja Kiribati, TAMPS 97766-8630"	Aguascalientes	4	OCCIDENTE
538900	380083	Soledad	Gabino	Segovia	Aguilar	1871984831	"Circuito Colima 112 Edif. 182 , Depto. 447 Nueva Belarús, TAB 34987-7449"	Oaxaca	19	SUR
198928	162716	Rufino	María Cristina	Enríquez	Carreón	2969367687	"Cerrada Rocha 445 Edif. 490 , Depto. 934 Vieja Omán, YUC 62466"	Colima	44	NORTE
804893	159290	Jorge Luis	Adán	Galván	Vargas	8477013838	"Avenida Sur Rolón 680 Interior 547 Nueva Pakistán, TLAX 01500"	Colima	29	NORTE
912597	756314	Linda	Juan	Quiñónez	Blanco	5855805134	"Calle Veracruz de Ignacio de la Llave 601 Interior 219 Nueva Armenia, CHIH 58061-9954"	Michoacán de Ocampo	16	OCCIDENTE
295511	777005	Cristian	Andrea	Gallegos	Mojica	4213916951	"Andador Mauritania 823 510 Vieja Federación de Rusia, HGO 10463"	Chiapas	14	CENTRO
813996	786057	Georgina	Elisa	Mendoza	Uribe	3218510178	"Eje vial Coahuila de Zaragoza 291 528 Vieja Bhután, GRO 59343-3605"	Colima	18	OCCIDENTE
196374	480283	Gabino	Dalia	Gaytán	Pacheco	1424789228	"Viaducto Marrero 111 496 Nueva Bolivia, AGS 18913"	Puebla	24	NORTE
529918	524024	Santiago	Alfredo	Tovar	Tapia	7278790955	"Andador Sosa 156 Edif. 218 , Depto. 736 Nueva Belarús, CAMP 88433"	Hidalgo	5	SUR
497715	458555	Guadalupe	César	Bernal	Cabán	6441716184	"Prolongación Sur Rivera 348 Interior 056 San Joaquín de la Montaña, TAB 22062"	Veracruz de Ignacio de la Llave	34	NORTE
239242	825412	Jesús	Emilia	Armendáriz	Roldán	5934223198	"Ampliación Jalisco 139 232 Nueva El Salvador, GTO 55089"	Hidalgo	16	SUR
317507	766923	Ariadna	Fabiola	Ledesma	Tijerina	2237627585	"Peatonal Chipre 631 Interior 736 San Leticia de la Montaña, QRO 65052"	Coahuila de Zaragoza	50	SUR
294777	857815	David	Rodolfo	Godínez	Martínez	1707462327	"Prolongación Namibia 936 Interior 311 San Isabel de la Montaña, CAMP 91719"	Tlaxcala	26	OCCIDENTE
144150	771386	José Eduardo	Alvaro	Villalpando	Rodarte	1869858883	"Corredor Nuevo León 370 Interior 151 San Roberto los altos, TLAX 45452-8634"	Guerrero	17	NORTE
73609	384150	Yuridia	Amalia	Terán	Roybal	7675221028	"Corredor Norte Correa 154 Edif. 764 , Depto. 163 Nueva Togo, SLP 79058-6458"	Baja California	25	NORTE
390250	512351	Sandra	Rosalia	Robles	Reynoso	2505533354	"Diagonal Norte Nava 321 Edif. 055 , Depto. 584 Nueva Bélgica, HGO 43371-3575"	Tlaxcala	1	CENTRO
75158	779847	Raquel	Adalberto	Zepeda	Olivares	8484153628	"Calle Quintana Roo 476 Interior 410 Vieja Emiratos Árabes Unidos, SON 90114-7934"	Quintana Roo	41	NORTE
562791	155562	Eric	Alejandra	Pabón	Quesada	3606961695	"Circunvalación Sur Gamez 866 493 San Nayeli los altos, TLAX 53844-7923"	San Luis Potosí	46	CENTRO
406218	912031	Ariadna	David	Riojas	Aranda	7553832950	"Continuación Gaytán 684 Interior 485 San Lourdes los bajos, MOR 82487-2999"	Coahuila de Zaragoza	8	NORTE
120332	348609	Bruno	Luz	Pulido	Villalpando	4891294971	"Privada Tello 992 Edif. 447 , Depto. 870 San Benito los bajos, TAMPS 35994-8281"	Baja California Sur	25	SUR
628055	646719	María Elena	Aurora	Acevedo	Muro	8992195359	"Peatonal Murillo 027 Interior 453 Vieja Tuvalu, NL 19885-0847"	Tamaulipas	12	CENTRO
988527	403773	Ricardo	Omar	Espino	Guardado	6276432676	"Viaducto Coahuila de Zaragoza 737 Interior 731 San Marcos de la Montaña, TAMPS 56865-1124"	Michoacán de Ocampo	17	OCCIDENTE
442284	557152	Clara	Anel	Rico	Alvarado	7084317254	"Callejón Sur Ruelas 814 Edif. 306 , Depto. 345 San Magdalena los bajos, SON 79857"	Jalisco	10	OCCIDENTE
464729	75772	Rocío	Agustín	Palomino	Camarillo	9339083639	"Circunvalación Michoacán de Ocampo 855 861 San Javier de la Montaña, CHIH 05115-6864"	Nuevo León	39	OCCIDENTE
87846	12681	Fernando	Karina	Meléndez	Angulo	7572894209	"Avenida Norte Olivares 896 Edif. 866 , Depto. 418 Nueva Bangladesh, COAH 57695-4246"	Zacatecas	9	CENTRO
394725	240659	Wilfrido	Fabiola	Zedillo	Olivas	1211353486	"Diagonal Sur Durán 672 573 Nueva Federación de Rusia, TAB 20529-5454"	Quintana Roo	50	OCCIDENTE
557256	174328	Georgina	Ricardo	Coronado	Estévez	1575877248	"Diagonal Sonora 415 105 San Andrea de la Montaña, DF 08254"	Guerrero	27	NORTE
248040	476737	Olga	Norma	Villa	Pedraza	6846687903	"Andador Zacatecas 537 013 Vieja Kazajstán, AGS 98125-4136"	Zacatecas	43	SUR
990977	812193	Timoteo	Sonia	Jimínez	Marroquín	1017001202	"Calzada Sinaloa 496 Edif. 882 , Depto. 854 San Evelio de la Montaña, COAH 04479-6404"	Distrito Federal	39	NORTE
51027	799895	Aurora	Uriel	Valentín	Ayala	5565275533	"Calle Norte Vargas 769 Edif. 385 , Depto. 146 Vieja República Centroafricana, SLP 03925-2548"	Michoacán de Ocampo	16	OCCIDENTE
583514	569239	César	Cristina	Girón	Reynoso	9897648548	"Boulevard Guatemala 997 Interior 834 Nueva Nicaragua, Q. ROO 24914-1058"	Puebla	48	SUR
974983	318770	Marcela	Elvira	Covarrubias	Segovia	6054673049	"Avenida República Federal Democrática de Nepal 512 Interior 446 San Omar de la Montaña, SLP 19640-6744"	Guerrero	25	OCCIDENTE
976561	814775	Agustín	María Elena	Cortez	Rentería	6958416490	"Calzada Norte Guillen 901 057 Vieja Albania, NL 44095-9236"	Morelos	20	NORTE
722266	501069	Juana	Cristina	Anguiano	Peralta	5960129305	"Callejón Zacatecas 247 Edif. 842 , Depto. 220 San Anel los altos, CHIS 88613"	Veracruz de Ignacio de la Llave	30	CENTRO
639507	478388	Julio	Abraham	Bravo	Terán	4716124931	"Calle Norte Campos 464 Interior 696 Nueva San Vicente y las Granadinas, NL 51470"	Chihuahua	15	OCCIDENTE
212543	134960	Emiliano	Bianca	Henríquez	Campos	4114187994	"Circuito Sur Luevano 901 Interior 648 Vieja Uruguay, CHIS 58301-9544"	Chiapas	9	SUR
199134	918732	Nicolás	Evelio	Barraza	Salazar	8636139947	"Andador Vega 127 987 Nueva Madagascar, CHIH 90575-5847"	Nayarit	21	OCCIDENTE
938540	739790	Josefina	Cristina	Montez	Prado	3970983466	"Calzada Norte Loya 072 258 Nueva Bélgica, CHIS 89399"	Veracruz de Ignacio de la Llave	40	OCCIDENTE
915558	591279	Alma	Irene	Tirado	Laboy	4440342928	"Avenida Montañez 933 Interior 633 Vieja Namibia, BC 03369"	Zacatecas	15	NORTE
340244	560399	Laura	María del Carmen	Linares	Galarza	8371096343	"Ampliación Sur Dávila 492 Interior 530 Nueva Venezuela, SON 20149-7586"	Campeche	6	OCCIDENTE
41743	759575	Gerardo	Isabel	Hernández	Mata	4885458796	"Continuación Campeche 040 693 San Verónica los altos, MICH 62934"	Colima	13	OCCIDENTE
367791	974120	Graciela	Salvador	Trejo	Tijerina	8700493136	"Calzada Norte Cervántez 745 206 Nueva Canadá, AGS 67234-9563"	Nayarit	3	CENTRO
324926	458790	Jesús	Beatriz	Soliz	Arteaga	7924614901	"Corredor Granada 442 Interior 549 Vieja Uzbekistán, MEX 86576"	Distrito Federal	22	SUR
962507	277389	Soledad	José María	Gurule	Casas	4706175025	"Callejón Sur Soto 000 969 San Carolina los altos, CHIH 28108"	México	1	CENTRO
108820	797865	Jonás	Sessa	Alvarez	Enríquez	3298074649	"Eje vial Nuevo León 283 628 San Rocío los altos, GRO 19818"	Campeche	44	OCCIDENTE
108422	431022	Horacio	José Emilio	Arreola	Lemus	8784955015	"Callejón Kenya 515 Edif. 236 , Depto. 282 San Frida de la Montaña, NAY 28638-9234"	Puebla	37	OCCIDENTE
66148	625345	Agustín	Elias	Montañez	Arroyo	9723186096	"Calle Nayarit 702 867 Nueva Omán, AGS 53219-3629"	Durango	37	CENTRO
443683	481071	Beatriz	Alta  Gracia	Saucedo	Perales	5953907196	"Retorno Hidalgo 317 Edif. 286 , Depto. 518 San Miguel los altos, JAL 68396"	Quintana Roo	39	SUR
240067	253627	Modesto	Esther	Villegas	Reyes	7151377643	"Ampliación Sur Alcala 222 Edif. 822 , Depto. 812 Vieja Canadá, COL 57038-4989"	Hidalgo	26	OCCIDENTE
214007	62312	Héctor	Abril	Malave	de León	2788769945	"Eje vial Sur Salcido 437 Interior 551 Nueva Canadá, CHIS 75533-2994"	Baja California Sur	30	NORTE
671915	8798	Jacinto	Frida	Carrillo	Arguello	5320127736	"Diagonal Norte Frías 039 414 San Karina los altos, MOR 66107-5920"	Puebla	4	CENTRO
728923	370026	Miriam	Abril	de la Garza	Saldivar	8266168797	"Callejón Paraguay 235 Interior 576 San Joaquín los bajos, YUC 92925"	Durango	2	CENTRO
360058	274708	Yeni	Uriel	Casillas	Morales	9254258934	"Callejón Díaz 475 181 Nueva Chad, BC 56716"	México	43	CENTRO
976004	241173	Camilo	Margarita	Ozuna	Nájera	3784417942	"Peatonal Montero 690 Interior 483 San Minerva de la Montaña, MOR 80837"	Nayarit	6	CENTRO
802414	200927	Isabel	José	Villarreal	Espino	9853593913	"Pasaje Norte Armendáriz 815 Edif. 033 , Depto. 881 San Camilo de la Montaña, CAMP 21059"	Colima	49	NORTE
811507	806737	Gabriela	Aurora	Rascón	Cotto	9204831623	"Avenida Negrete 664 Interior 584 San Elvia los altos, YUC 37471"	Tlaxcala	22	OCCIDENTE
895575	731740	Arcelia	Citlali	Velasco	Santillán	9178151602	"Peatonal Camerún 222 047 Nueva Singapur, DGO 13339-8296"	Sinaloa	41	NORTE
976203	137606	Nancy	María Cristina	Saavedra	Ledesma	6739108694	"Andador Nazario 420 Interior 931 Nueva Mozambique, TAB 29406"	Chiapas	30	SUR
388483	373422	Pedro	Armando	Saiz	Barragán	2398891988	"Ampliación Barraza 594 310 San Sonia los altos, COAH 01262"	Coahuila de Zaragoza	6	SUR
410527	284638	Leonor	Carlota	Navarro	Gollum	7346174795	"Calzada Tonga 352 904 San Laura de la Montaña, COAH 35887-5465"	Veracruz de Ignacio de la Llave	31	CENTRO
307334	625537	Rebeca	Emilio	Ocampo	Henríquez	5225326366	"Boulevard Sur Solorzano 783 Interior 150 San Emilia los bajos, NL 87545-6357"	Campeche	49	CENTRO
270915	865543	Francisco	Mercedes	Montemayor	Chávez	4881631945	"Calle Timor-Leste 409 753 San Sonia los altos, QRO 11590-7125"	Nuevo León	32	SUR
339381	79507	Daniel	Octavio	Delgado	Acevedo	2874278735	"Circuito Norte Ulibarri 846 Edif. 676 , Depto. 695 Vieja Irán, MICH 09563"	Baja California	40	SUR
886669	904316	Esther	Jorge	Gamboa	Munguía	4813815792	"Diagonal Norte Covarrubias 139 Interior 815 San César los bajos, TAB 26205-4766"	Tabasco	44	OCCIDENTE
538501	541853	Jos	Leonel	Munguía	Baca	4216243672	"Cerrada Sinaloa 936 Interior 478 San Araceli los altos, QRO 86667"	Coahuila de Zaragoza	33	OCCIDENTE
821488	706245	Gabriel	Amalia	Lara	Galindo	7147710939	"Diagonal Sur Escalante 875 Edif. 537 , Depto. 328 Vieja Irlanda, AGS 94194"	Michoacán de Ocampo	19	NORTE
619123	261609	Ilse	Federico	Colunga	Negrete	1824974176	"Avenida Gastélum 907 891 San Emilia los altos, AGS 66578"	Baja California Sur	7	SUR
552396	807559	Jesús	Eloisa	Cadena	Solorio	5393407467	"Eje vial Campeche 617 265 San María Teresa los bajos, DGO 39512"	Tabasco	12	OCCIDENTE
885199	3834	Óscar	Araceli	Zedillo	Velázquez	2427528316	"Retorno Durango 025 Interior 965 San Daniela los bajos, BC 40390-3215"	México	19	OCCIDENTE
467246	955366	Miguel Ángel	Gabino	Garrido	Rosario	3597156786	"Callejón Quintanilla 019 Edif. 080 , Depto. 314 Nueva Barbados, TAMPS 53659"	Veracruz de Ignacio de la Llave	27	CENTRO
98284	403783	Nancy	Dulce María	Olmos	Tórrez	6699544177	"Circunvalación Baja California 866 388 San María del Carmen de la Montaña, NAY 53376"	Campeche	45	OCCIDENTE
321721	821847	Rufino	Arturo	Crespo	Ojeda	4109990530	"Viaducto Vallejo 659 Interior 974 Nueva Finlandia, NAY 66494-1861"	Morelos	50	NORTE
806187	226542	Olivia	José María	Roybal	Quesada	4621288377	"Eje vial Argelia 437 396 San Carla de la Montaña, COL 57158"	Baja California Sur	4	SUR
328530	467775	Adriana	Reina	Montoya	Laureano	7711198001	"Periférico Egipto 168 Interior 806 Nueva Armenia, SIN 71530-8244"	Zacatecas	12	OCCIDENTE
357926	866556	Antonia	Oswaldo	Ponce	Meza	3468849875	"Retorno Valles 490 826 San Óscar de la Montaña, YUC 48988"	Zacatecas	38	NORTE
252981	257707	Claudio	Noemí	Terán	Pelayo	9711703049	"Diagonal Montaño 838 287 San Cecilia los bajos, BC 68132"	Distrito Federal	31	NORTE
849033	2493	César	Eloy	Cavazos	Urías	2119691009	"Privada Durango 443 Interior 403 San Espartaco los bajos, TAMPS 82257-2136"	Morelos	50	CENTRO
140748	967021	Esparta	Patricia	Borrego	Cortez	5453553390	"Callejón Omán 298 Interior 719 Vieja Chipre, GRO 81166-0830"	Nuevo León	21	NORTE
